instance;Gurobi;GA0;GA3;GA4;LocalSolverNative0;LocalSolverNative3;LocalSolverNative4
j3018_1;15.484375;15.484375;15.484375;15.484375;15.484375;15.484375;15.484375
j3018_10;16.700001;16.700001;16.644444;16.700001;16.700001;16.700001;16.700001
j3018_2;14.222221;14.222221;14.222221;14.222221;14.222221;14.222221;14.222221
j3018_3;14.201183;14.201183;14.201183;14.201183;14.201183;14.201183;14.201183
j3018_4;12;12;12;12;12;12;12
j3018_5;30;30;30;30;30;30;30
j3018_6;48.34375;48.34375;48.34375;48.34375;48.34375;48.34375;48.34375
j3018_7;16.33;16.33;16.33;16.33;16.33;16.33;16.33
j3018_8;21;21;21;21;21;21;21
j3018_9;23.603306;23.603306;23.603306;23.603306;23.603306;23.603306;23.603306
j3019_1;10.5;10.5;10.5;10.5;10.5;10.5;10.5
j3019_10;8.52071;8.52071;8.52071;8.52071;8.52071;8.52071;8.52071
j3019_3;5.5;5.5;5.5;5.5;5.5;5.5;5.5
j3019_4;15.5;15.5;15.5;15.5;15.5;15.5;15.5
j3019_5;7.68;7.68;7.68;7.68;7.68;7.68;7.68
j3019_6;6.64;6.64;6.5;6.64;6.64;6.5;6.64
j3019_7;10;10;10;10;10;10;10
j3019_8;16.5;16.5;16.5;16.5;16.5;16.5;16.5
j3019_9;9.5;9.5;9.5;9.5;9.5;9.5;9.5
j301_1;64.086777;64.086777;64.086777;64.086777;64.086777;64.086777;64.086777
j301_10;21.091696;21.091696;21.091696;21.091696;21.091696;21.091696;21.091696
j301_2;52.308643;52.308643;52.308643;52.308643;52.308643;52.308643;52.308643
j301_3;40.125;40.125;40.125;40.125;40.125;40.125;40.125
j301_4;99.182098;99.182098;99.182098;99.182098;99.182098;99.182098;99.182098
j301_5;51.708332;51.708332;51.708332;51.708332;51.708332;51.708332;51.708332
j301_6;33.887524;33.887524;33.887524;33.887524;33.887524;33.887524;33.887524
j301_7;29;29;29;29;29;29;29
j301_8;70;70;70;70;70;70;70
j301_9;57.03846;57.03846;57.03846;57.03846;57.03846;57.03846;57.03846
j3021_1;67.720596;81.252373;80.496346;81.252373;81.252373;81.252373;81.252373
j3021_10;85.505348;89.009514;87.505348;89.009514;90.009514;89.387039;90.009514
j3021_2;109.111115;122.111115;122.611115;122.111115;122.611115;122.611115;118.957779
j3021_3;102.357277;102.357277;100.357277;102.357277;102.357277;102.357277;102.357277
j3021_4;151.166504;159.40625;159.006348;159.40625;159.40625;159.40625;159.006348
j3021_5;130.655685;132.783264;132.783264;132.783264;132.783264;132.783264;132.783264
j3021_6;151.82283;160.370392;159.648636;159.648636;159.648636;159.648636;160.370392
j3021_7;154.84375;155.34375;155.34375;155.34375;155.34375;155.121521;155.34375
j3021_8;95.80748;110.50415;110.042938;110.50415;110.50415;110.50415;110.50415
j3021_9;152.60762;160.699341;158.699341;160.699341;160.699341;160.699341;160.699341
j3022_1;46;46;46;46;46;46;46
j3022_10;79.639999;79.639999;79.639999;79.639999;79.639999;79.639999;79.639999
j3022_2;46.646667;46.646667;46.646667;46.646667;46.646667;46.646667;46.646667
j3022_3;23;23;23;23;23;23;23
j3022_4;61.328255;61.328255;61.328255;61.328255;61.328255;61.328255;61.328255
j3022_5;33.90625;33.90625;33.90625;33.90625;33.90625;33.90625;33.90625
j3022_6;64.03125;63.53125;63.986328;63.986328;64.03125;64.03125;64.03125
j3022_7;74.279999;73.568886;74.279999;74.279999;74.279999;74.279999;74.279999
j3022_8;64.300003;64.300003;64.300003;64.300003;64.300003;64.300003;64.300003
j3022_9;34.5;34.5;34.5;34.5;34.5;34.5;34.5
j3023_2;8.5;8.5;8.5;8.5;8.5;8.5;8.5
j3023_3;33.5;33.5;33.5;33.5;33.5;33.5;33.5
j3023_4;38.90625;38.90625;38.90625;38.90625;38.90625;38.90625;38.90625
j3023_5;13.504132;13.504132;13.504132;13.504132;13.504132;13.504132;13.504132
j3023_6;31.184999;31.184999;31.184999;31.184999;31.184999;31.184999;31.184999
j3023_7;18.550297;18.550297;18.550297;18.550297;18.550297;18.550297;18.550297
j3023_9;28.5;28.5;28.5;28.5;28.5;28.5;28.5
j3025_10;202.979599;206.936859;206.979599;206.979599;206.979599;206.936859;206.979599
j3026_1;60.5;60.5;60.5;60.5;60.5;60.5;60.5
j3026_10;120.475311;120.475311;120.475311;120.475311;120.475311;120.475311;120.475311
j3026_3;65;65;65;65;65;65;65
j3026_4;97.5;97.5;97.5;97.5;97.5;97.5;97.5
j3026_5;40.544998;40.544998;40.544998;40.544998;40.544998;40.544998;40.544998
j3026_6;157.122452;157.122452;156.622452;157.122452;157.122452;157.122452;157.122452
j3026_7;136;136;136;136;136;136;136
j3026_8;69;69;69;69;69;69;69
