instance;Gurobi;GA beta;GA zr;GA zrt;LS beta;LS zr;LS zrt
j12023_6;281.184448;281.184448;281.184448;281.184448;280.737793;281.184448;280.737793
j12023_7;288.5;288.5;288.5;288.5;288.5;288.5;288.5
j12023_8;206;206;206;206;206;206;206
j12023_9;252.507813;250.03125;252.507813;252.007813;250.03125;251.507813;250.03125
j12024_1;181.5;181.5;181.5;181.5;181.5;181.5;181.5
j12024_10;228;228;228;228;228;228;228
j12024_2;116;116;116;116;115.484444;116;116
j12024_3;191;191;191;191;191;191;191
j12024_4;183;183;183;183;183;183;183
j12024_5;157;157;157;157;157;157;157
j12024_6;185;185;185;185;185;185;185
j12024_7;162.5;162.5;162.5;162.5;162.5;162.5;162.5
j12024_8;177.5;177.5;177.5;177.5;177.5;177.5;177.5
j12024_9;138.5;138;138.5;138.5;138.5;138.5;138.5
j12025_1;123;123;123;123;123;123;123
j12025_10;122;122;122;122;122;122;122
j12025_4;107.5;107.5;107.5;107.5;107.5;107.5;107.5
j12025_6;95.5;95.5;95.5;95.5;95.5;95.5;95.5
j12025_7;128;128;128;128;128;128;128
j12025_8;168.28125;168.28125;168.28125;168.28125;161.625;168.28125;168.28125
j12026_1;0;1250.920898;1224.271484;1239.319702;1233.266968;1237.420898;1060.10791
j12026_10;0;1039.368896;1043.307617;1036.213989;951.080139;1013.769165;876.012634
j12026_2;0;1041.140015;1033.538452;1041.293823;992.181152;996.501587;869.813843
j12026_3;0;1098.021118;1089.696655;1124.471069;1036.468018;1057.625366;940.103088
j12026_4;0;1265.922607;1281.512329;1278.444702;1211.160034;1241.688477;706.780945
j12026_5;0;1025.195435;1041.52771;1018.52771;976.668335;1001.100708;821.068542
j12026_6;0;1142.382202;1144.673828;1152.392822;1099.874146;1120.482788;958.336365
j12026_7;0;1089.858643;1092.446899;1091.200195;1027.81543;1075.358643;938.7323
j12026_8;0;965.311157;959.140015;974.311157;877.815002;933.424316;891.815002
j12026_9;0;1332.950317;1340.450317;1353.044189;1257.522949;1330.272827;1146.242798
j12027_1;0;1092.513794;1089.120239;1097.013794;1077.590332;1064.090332;970.207886
j12027_10;0;1166.626953;1166.126953;1181.402832;1183.402832;1162.402832;1077.738037
j12027_2;0;703.842102;701.842102;695.342102;663.232666;681.323975;613.330566
j12027_3;0;762.083008;758.811646;761.811646;735.549072;749.495483;685.451172
j12027_4;0;928.587402;928.453613;937.453613;857.509033;923.953613;818.481201
j12027_5;0;693.055176;687.977234;686.055176;425.745819;678.737244;595.135986
j12027_6;0;1171.68396;1181.131714;1194.436279;1152.115601;1147.58252;1039.309814
j12027_7;0;971.073608;961.695313;975.562195;799.641602;975.195313;784.248901
j12027_8;0;1058.111572;1054.888916;1066.611572;993.977783;1048.888916;966.244812
j12027_9;0;935.444458;933.910156;942.342529;889.24884;910.847656;846.125
j12028_1;0;955.694824;949.730225;951.070801;939.899475;958.570801;941.230225
j12028_10;468;571.524231;569.81488;570.81488;562.067444;565.524231;535.197205
j12028_2;566.84613;587.84613;584.38446;584.88446;582.61499;580.61499;576.38446
j12028_3;724;724;724;724;724;717.994446;715.977844
j12028_4;0;685.585083;682.09314;692.09314;656.771362;687.498901;640.395569
j12028_5;492;492;492;492;492;492;492
j12028_6;855.003479;862;862;861.5;808.125;858.003479;823.086792
j12028_7;657.334167;819.569031;825.069031;826.569031;813.418579;813.887878;797.622742
j12028_8;0;597.349915;593.129517;586.066528;587.066528;579.723877;573.173889
j12028_9;0;744.221924;733.721924;737.727783;738.721924;735.727783;726.387573
j12029_1;592;592;592;592;592;592;592
j12029_10;419.5;419.5;419.5;419.5;419.5;419.5;419.5
j12029_2;450;450;450;450;450;450;450
j12029_3;0;564.67926;560.67926;555.580566;553.17926;550.080566;536.328003
j12029_4;436.949066;487.796295;483.541656;485.041656;489.296295;477.685181;476.685181
j12029_5;535.275513;540;540;540;540;538.775513;520.408142
j12029_6;535.619812;582.07843;580.07843;579.57843;488.498535;573.417175;521.705627
j12029_7;400;400;400;400;400;400;400
j12029_8;470.366791;472;471.5;472;470.366791;470.366791;469.866791
j12029_9;402;402;402;402;402;402;402
j1202_1;0;519.92041;516.186829;517.791931;519.791931;506.42041;489.413055
j1202_10;0;534.604919;527.75708;531.104919;481.36673;520.25708;517.905457
j1202_2;303.71875;307.375;305.46875;308.375;304.46875;308.875;292.96875
j1202_3;0;560.99823;558.227844;562.028564;553.717407;549.217407;541.46698
j1202_4;313.722229;310.972229;312.222229;313.722229;314.222229;310.972229;310.972229
j1202_5;0;410.990723;409.197266;406.697266;406.40625;414.197266;368.314941
j1202_6;0;442.193085;441.26001;443.193085;401.637543;436.26001;425.684448
j1202_7;388.747192;388.247192;388.747192;388.747192;374.9888;389.247192;368.179199
j1202_8;351.41214;353.243774;351.743774;351.673462;329.693878;351.673462;348.027771
j1202_9;384.038635;384.654572;381.347809;380.847809;376.466125;382.347809;380.618317
j12030_1;404.5;404.5;404.5;404.5;404.5;404.5;404.5
j12030_10;363.5;363.5;363.5;363.5;363.5;363.5;363.5
j12030_2;378;378;378;378;378;378;378
j12030_3;291;291;291;291;291;291;291
j12030_4;322.5;322.5;322.5;322.5;322.5;322.5;322.5
j12030_5;360.351196;419.351196;418.351196;416.351196;408.420013;409.420013;406.920013
j12030_6;385.5;385.5;385.5;385.5;385.5;385.5;385.5
j12030_7;364;364.5;363.588745;364.5;360.855011;363.588745;360.855011
j12030_8;438;438;438;438;438;438;438
j12030_9;374;374;374;374;374;374;374
j12031_1;0;1854.415039;1865.440186;1899.508789;1739.387573;1849.008789;1646.085815
j12031_10;0;2062.944092;2076.722656;2105.463135;2004.514648;2032.893799;1725.790771
j12031_2;0;1872.726563;1909.305908;1909.054199;1828.08252;1817.891113;1491.910156
j12031_3;0;1636.962769;1658.962769;1669.019287;1618.903931;1627.962769;1308.860718
j12031_4;0;1642.273438;1666.162476;1659.153076;1613.189575;1618.759888;1137.487671
j12031_5;0;2120.00415;2124.979736;2159.50415;2022.159668;2089.99585;1650.720337
j12031_6;0;2035.095947;2034.835205;2059.095947;1996.2854;1973.717285;1489.368652
j12031_7;0;1805.093018;1834.614746;1835.091553;1802.054688;1836.32373;1393.383667
j12031_8;0;1986.833984;1983.386475;2018.18042;1916.353271;1924.402588;1536.621826
j12031_9;0;2090.271729;2105.643799;2119.830078;2003.664307;2099.271729;1655.657349
j12032_1;0;1322.339355;1323.684692;1329.81543;1308.026001;1302.31543;1124.290649
j12032_10;0;1585.79834;1599.487915;1593.633667;1559.846924;1563.658569;1476.429932
j12032_2;0;1474.012451;1467.186035;1476.954956;1434.910889;1446.511963;1372.336792
j12032_3;0;1487.246582;1490.4646;1487.964111;1423.680176;1446.746582;1361.098389
j12032_4;0;1468.515015;1461.044434;1464.044434;1439.52356;1441.144043;1352.324097
j12032_5;0;1381.843018;1369.046387;1387.046387;1355.043213;1349.853394;1188.098755
j12032_6;0;1320.556396;1298.191772;1328.568726;1304.588379;1284.245972;1144.681519
j12032_7;0;1648.643311;1658.143311;1655.095703;1605.113525;1604.113525;1570.170044
j12032_8;0;1426.106567;1431.739502;1438.739502;1395.35376;1410.751343;980.017029
j12032_9;0;1577.619873;1572.052979;1594.611084;1545.129517;1561.812134;1382.38269
j12033_1;0;983.433899;989.418152;985.918152;817.586792;971.271667;817.586792
j12033_10;0;1337.8125;1337.148804;1331.648804;1323.952515;1330.362061;1277.486084
j12033_2;0;1038.167969;1038.448364;1040.448364;1015.948364;1017.740356;1002.665649
j12033_3;0;1464.57251;1478.177734;1476.57251;1448.686646;1451.677734;1412.260376
j12033_4;0;1064.259155;1075.759155;1086.821655;1027.102905;1060.759155;1041.019531
j12033_5;0;1279.063965;1298.572388;1312.49231;1244.692993;1262.28125;1149.053711
j12033_6;0;946.355042;945.588745;940.355042;937.855042;942.855042;934.298828
